experience_level,salary_in_usd,remote_ratio,company_size,company_location_Other,company_location_US,job_title_Data Analyst,job_title_Data Engineer,job_title_Data Scientist,job_title_Machine Learning Engineer,job_title_Other,job_title_Software Engineer
2,60000,50,2,1,0,0,0,0,0,1,0
3,165000,0,1,0,1,0,0,0,0,1,0
3,109000,0,1,0,1,0,0,0,0,1,0
3,294000,0,1,0,1,0,0,0,0,1,0
3,137600,0,1,0,1,0,0,0,0,1,0
1,82000,0,1,0,1,1,0,0,0,0,0
1,44000,0,1,0,1,1,0,0,0,0,0
3,149800,0,2,0,1,0,0,0,0,1,0
3,89700,0,2,0,1,0,0,0,0,1,0
3,200000,0,1,0,1,0,0,0,0,1,0
3,185000,0,1,0,1,0,0,0,0,1,0
3,160000,0,1,0,1,0,0,1,0,0,0
3,130000,0,1,0,1,0,0,1,0,0,0
3,231000,100,1,0,1,0,0,0,0,1,0
3,172000,100,1,0,1,0,0,0,0,1,0
3,126000,0,1,0,1,0,0,0,0,1,0
3,119000,0,1,0,1,0,0,0,0,1,0
2,200000,100,0,0,1,0,0,0,0,1,0
2,300000,100,0,0,1,0,0,0,0,1,0
2,140000,100,1,0,1,0,0,1,0,0,0
2,120000,100,1,0,1,0,0,1,0,0,0
2,175300,0,1,0,1,0,0,0,0,1,0
2,129500,0,1,0,1,0,0,0,0,1,0
3,115500,0,1,0,1,0,0,0,0,1,0
3,87000,0,1,0,1,0,0,0,0,1,0
3,170000,0,1,0,1,0,0,0,0,1,0
3,110000,0,1,0,1,0,0,0,0,1,0
1,266000,0,1,0,1,0,0,0,0,1,0
1,177688,0,1,0,1,0,0,0,0,1,0
1,187040,0,1,0,1,0,0,0,0,1,0
2,251000,0,1,0,1,0,0,0,0,1,0
2,177000,0,1,0,1,0,0,0,0,1,0
3,200000,0,1,0,1,0,0,0,0,0,1
3,136000,0,1,0,1,0,0,0,0,0,1
2,264200,0,1,0,1,0,0,0,1,0,0
2,143100,0,1,0,1,0,0,0,1,0,0
3,185000,0,1,0,1,0,0,0,1,0,0
3,165000,0,1,0,1,0,0,0,1,0,0
2,101265,0,1,1,0,0,0,0,0,0,1
2,75949,0,1,1,0,0,0,0,0,0,1
2,251666,0,1,0,1,0,0,0,1,0,0
2,176166,0,1,0,1,0,0,0,1,0,0
3,239000,0,1,0,1,0,0,0,0,0,1
3,161000,0,1,0,1,0,0,0,0,0,1
3,223400,0,1,0,1,0,0,0,0,1,0
3,96800,0,1,0,1,0,0,0,0,1,0
3,328300,0,1,0,1,0,0,0,0,1,0
3,192700,0,1,0,1,0,0,0,0,1,0
2,42000,0,1,0,1,0,0,0,0,1,0
2,175400,0,1,0,1,0,1,0,0,0,0
2,106300,0,1,0,1,0,1,0,0,0,0
2,150700,0,1,0,1,0,0,0,0,1,0
2,98800,0,1,0,1,0,0,0,0,1,0
2,238000,0,1,0,1,0,0,0,0,1,0
2,171000,0,1,0,1,0,0,0,0,1,0
3,293000,0,1,0,1,0,0,0,0,1,0
3,213000,0,1,0,1,0,0,0,0,1,0
2,100000,0,1,0,1,0,0,0,0,1,0
2,80000,0,1,0,1,0,0,0,0,1,0
2,221000,0,1,0,1,0,0,0,0,1,0
2,176000,0,1,0,1,0,0,0,0,1,0
2,59115,0,1,1,0,0,1,0,0,0,0
2,39410,0,1,1,0,0,1,0,0,0,0
2,173000,0,1,0,1,0,0,0,0,1,0
2,117000,0,1,0,1,0,0,0,0,1,0
3,107000,0,1,1,0,0,0,0,0,1,0
3,87000,0,1,1,0,0,0,0,0,1,0
3,281000,0,1,0,1,0,1,0,0,0,0
3,206000,0,1,0,1,0,1,0,0,0,0
2,190000,0,1,0,1,0,1,0,0,0,0
2,150000,0,1,0,1,0,1,0,0,0,0
3,223900,0,1,0,1,0,1,0,0,0,0
3,135700,0,1,0,1,0,1,0,0,0,0
3,167500,0,1,0,1,0,1,0,0,0,0
3,145000,0,1,0,1,0,1,0,0,0,0
2,112500,0,1,0,1,0,0,0,0,1,0
2,208800,0,1,0,1,0,0,0,0,0,1
2,98300,0,1,0,1,0,0,0,0,0,1
3,210000,0,1,0,1,0,0,0,0,0,1
3,144840,0,1,0,1,0,0,0,0,0,1
2,60126,0,1,1,0,0,0,0,0,0,1
1,145000,0,1,0,1,0,0,0,0,1,0
1,99000,0,1,0,1,0,0,0,0,1,0
2,138500,0,1,0,1,0,0,0,0,1,0
2,115000,0,1,0,1,0,0,0,0,1,0
1,135000,100,1,0,1,0,0,0,0,1,0
1,56000,100,1,0,1,0,0,0,0,1,0
1,89000,100,1,0,1,0,0,0,0,1,0
1,47000,100,1,0,1,0,0,0,0,1,0
3,189000,0,1,0,1,0,0,0,0,1,0
3,108000,0,1,0,1,0,0,0,0,1,0
2,169000,0,1,0,1,0,0,0,0,1,0
2,118000,0,1,0,1,0,0,0,0,1,0
3,300000,100,1,0,1,0,0,0,0,0,1
3,270000,100,1,0,1,0,0,0,0,0,1
2,251600,0,1,1,0,0,0,0,0,1,0
2,120100,0,1,1,0,0,0,0,0,1,0
3,107000,0,1,1,0,0,1,0,0,0,0
3,87000,0,1,1,0,0,1,0,0,0,0
3,188100,100,1,0,1,0,0,0,0,1,0
3,114500,100,1,0,1,0,0,0,0,1,0
3,173000,0,1,0,1,0,0,0,0,1,0
3,117000,0,1,0,1,0,0,0,0,1,0
3,251000,0,1,0,1,0,0,0,0,1,0
3,177000,0,1,0,1,0,0,0,0,1,0
3,178100,0,1,0,1,0,0,0,0,1,0
3,79000,0,1,0,1,0,0,0,0,1,0
3,178100,0,1,0,1,0,0,0,0,1,0
3,79000,0,1,0,1,0,0,0,0,1,0
3,210000,0,1,0,1,0,0,0,0,1,0
